gracodigo;granome;coramo;noramo
09;09 - Pessoas Coletivo;0993;0993 - Vida em Grupo
09;09 - Pessoas Coletivo;0994;0994 - VGBL/ VAGP/ VRGP/ VRSA/ VRID/ VDR
09;09 - Pessoas Coletivo;0996;0996 - Seguro de Vida Universal
09;09 - Pessoas Coletivo;0997;0997 - VG/APC
10;10 - Habitacional;1061;1061 - Seg.Habit.Apól. Merc. - Prestamista
10;10 - Habitacional;1065;1065 - Seg.Habit.Apól.Merc.-Demais Cobert.
10;10 - Habitacional;1066;1066 - Seg.Hab.Sist.Fin. da Habit(RUN OFF)
10;10 - Habitacional;1068;1068 - HABITACIONAL - FORA DO SFH(RUN OFF)
11;11 - RURAL;1101;1101 - Seguro Agr sem cob do FESR(RUN OFF)
11;11 - RURAL;1102;1102 - Seguro Agr com cob do FESR(RUN OFF)
11;11 - RURAL;1103;1103 - Seguro Pec sem cob do FESR(RUN OFF)
11;11 - RURAL;1104;1104 - Seguro Pec com cob do FESR(RUN OFF)
11;11 - RURAL;1105;1105 - Seguro Aq sem cob do FESR(RUN OFF)
11;11 - RURAL;1106;1106 - Seguro Aq com cob do FESR(RUN OFF)
11;11 - RURAL;1107;1107 - Seguro Flore s/cob do FESR(RUN OFF)
11;11 - RURAL;1108;1108 - Seguro Flore c coB do FESR(RUN OFF)
11;11 - RURAL;1109;1109 - Seguro da Céd do Pr Rural(RUN OFF)
11;11 - RURAL;1111;1111 - Seguro Agrícola
11;11 - RURAL;1112;1112 - Seguro Pecuário
11;11 - RURAL;1113;1113 - Seguro Aquícola
11;11 - RURAL;1114;1114 - Seguro Florestas
11;11 - RURAL;1128;1128 - Pecuário
11;11 - RURAL;1129;1129 - Aquícola
11;11 - RURAL;1130;1130 - Seguro Benf. e Prod. Agropecuários
11;11 - RURAL;1161;1161 - Agrícola
11;11 - RURAL;1162;1162 - Penhor Rural
11;11 - RURAL;1163;1163 - Penhor Rural Inst. Fin Pub(RUN OFF)
11;11 - RURAL;1164;1164 - Seguros Animais
11;11 - RURAL;1165;1165 - Compreensivo de Florestas
11;11 - RURAL;1198;1198 - Seguro de Vida do Produtor Rural
12;12 - Outros;1279;1279 - Seguros no Exterior(RUN OFF)
12;12 - Outros;1285;1285 - Saúde - Ressegurador Loc (RUN OFF)
12;12 - Outros;1286;1286 - Saúde Individual
12;12 - Outros;1287;1287 - Saúde Grupal
12;12 - Outros;1299;1299 - SUCURSAIS NO EXTERIOR(RUN OFF)
13;13- Pessoas Individual;1329;1329 - Funeral
13;13- Pessoas Individual;1336;1336 - Perda Certif. Habilit. de Vôo-PCHV
13;13- Pessoas Individual;1369;1369 - Viagem
13;13- Pessoas Individual;1377;1377 - Prestamista (exceto Habit. E Rural)
13;13- Pessoas Individual;1380;1380 - Educacional
13;13- Pessoas Individual;1381;1381 - Acidentes Pessoais
13;13- Pessoas Individual;1383;1383 - Dotal Misto
13;13- Pessoas Individual;1384;1384 - Doenças Graves ou Doença Terminal
13;13- Pessoas Individual;1386;1386 - Dotal Puro
13;13- Pessoas Individual;1387;1387 - Desemprego/Perda de Renda
13;13- Pessoas Individual;1390;1390 - Eventos Aleatórios
13;13- Pessoas Individual;1391;1391 - Vida
13;13- Pessoas Individual;1392;1392 - VGBL/ VAGP/ VRGP/ VRSA/ VRID/ VDR
13;13- Pessoas Individual;1396;1396 - Seguro de Vida Universal
14;14 - Marítimos;1417;1417 - Seg. Compreensivo Oper. Portuários
14;14 - Marítimos;1428;1428 - R. C. Facult. para Embarcações-RCF
14;14 - Marítimos;1433;1433 - Marítimos (Cascos)
14;14 - Marítimos;1457;1457 - DPEM
15;15 - Aeronáuticos;1528;1528 - R. C. Facult. para Aeronaves - RCF
15;15 - Aeronáuticos;1535;1535 - Aeronáuticos (cascos)
15;15 - Aeronáuticos;1537;1537 - Responsabilidade Civil Hangar
15;15 - Aeronáuticos;1574;1574 - Satélites
15;15 - Aeronáuticos;1597;1597 - Resp. Explor. ou Transp. Aéreo-RETA
16;16 - Microsseguros;1601;1601 - Microsseguros de Pessoas
16;16 - Microsseguros;1602;1602 - Microsseguros de Danos
16;16 - Microsseguros;1603;1603 - Microsseguros - Previdência
17;17 - Petróleo;1734;1734 - Riscos de Petróleo
18;18 - Nucleares;1872;1872 - Riscos Nucleares
19;19 - Saúde;1985;1985 - Saúde  Resseguro
20;20 - Aceitações do Exterior;2079;2079 - Aceitações do Exterior
21;21 - Sucursal no Exterior;2199;2199 - SUCURSAL NO EXTERIOR
22;22 - Pessoas EFPC;2201;2201 - Sobrevivência de Assistido
22;22 - Pessoas EFPC;2202;2202 - Fluxo Biométrico
22;22 - Pessoas EFPC;2203;2203 - Índice Biométrico
22;22 - Pessoas EFPC;2293;2293 - VIDA EFPC
