Coenti;Noenti;Cogrupo;Nogrupo
51616     ;EURASIA INSURANCE COMPANY JSC;     ;
51624     ;MAPFRE RE, COMPAÑIA DE REASEGUROS S.A.;     ;
51748     ;R+V VERSICHERUNG AG;     ;
51772     ;CAISSE CENTRALE DE REASSURANCE;     ;
51845     ;FIDELIS UNDERWRITING LIMITED;     ;
51888     ;CONVEX INSURANCE UK LIMITED;     ;
51934     ;ENDURANCE WORLDWIDE INSURANCE LIMITED;     ;
51977     ;NATIONAL LIABILITY & FIRE INSURANCE COMPANY;     ;
52060     ;KOREAN REINSURANCE COMPANY;     ;
52078     ;STARSTONE SPECIALTY INSURANCE COMPANY (ATUAL DENOMINAÇÃO DE TORUS SPECIALTY INSURANCE COMPANY);     ;
52248     ;HOUSTON SPECIALTY INSURANCE COMPANY;     ;
52264     ;RGA REINSURANCE COMPANY;     ;
52272     ;AMTRUST SPECIALTY LIMITED;     ;
52329     ;ECHO REINSURANCE LIMITED;     ;
52434     ;AMLIN EUROPE N.V. (ANTIGA  AMLIN CORPORATE INSURANCE N.V.);     ;
52469     ;XL INSURANCE COMPANY SE (ANTIGA XL INSURANCE COMPANY PLC);     ;
52540     ;VALIDUS REINSURANCE (SWITZERLAND), LTD.;     ;
52558     ;PEERLESS INSURANCE COMPANY;     ;
52671     ;CAFASE ;     ;
52680     ;PLATINUM UNDERWRITERS REINSURANCE INC  (CANCELADO - PORTARIA SUSEP 6.037/2014);     ;
52736     ;INFRASSURE LTD.;     ;
52795     ;NAVIGATORS INSURANCE COMPANY;     ;
52809     ;IF P&C INSURANCE LTD.;     ;
52850     ;CNA INSURANCE COMPANY LIMITED;     ;
52876     ;ATRADIUS REINSURANCE LIMITED;     ;
52922     ;AXA VERSICHERUNGEN AG;     ;
52957     ;MITSUI SUMITOMO INSURANCE COMPANY OF AMERICA;     ;
52965     ;QATAR INSURANCE COMPANY S.A.Q.;     ;
53147     ;GOTHAER ALLGEMEINE VERSICHERUNG AG;     ;
